"
Date",TSLA,GOOG,MSFT,AMZN,AAPL,SP500
2020/12/17 下午 4:00:00,655.9,1747.9,219.42,3236.08,128.7,372.24
2020/12/18 下午 4:00:00,695,1731.01,218.59,3201.65,126.66,369.18
2020/12/21 下午 4:00:00,649.86,1739.37,222.59,3206.18,128.23,367.86
2020/12/22 下午 4:00:00,640.34,1723.5,223.94,3206.52,131.88,367.24
2020/12/23 下午 4:00:00,645.98,1732.38,221.02,3185.27,130.96,367.57
2020/12/24 下午 1:00:00,661.77,1738.85,222.75,3172.69,131.97,369
2020/12/28 下午 4:00:00,663.69,1776.09,224.96,3283.96,136.69,372.17
2020/12/29 下午 4:00:00,665.99,1758.72,224.15,3322,134.87,371.46
2020/12/30 下午 4:00:00,694.78,1739.52,221.68,3285.85,133.72,371.99
2020/12/31 下午 4:00:00,705.67,1751.88,222.42,3256.93,132.69,373.88
2021/1/4 下午 4:00:00,729.77,1728.24,217.69,3186.63,129.41,368.79
2021/1/5 下午 4:00:00,735.11,1740.92,217.9,3218.51,131.01,371.33
2021/1/6 下午 4:00:00,755.98,1735.29,212.25,3138.38,126.6,373.55
2021/1/7 下午 4:00:00,816.04,1787.25,218.29,3162.16,130.92,379.1
2021/1/8 下午 4:00:00,880.02,1807.21,219.62,3182.7,132.05,381.26
2021/1/11 下午 4:00:00,811.19,1766.72,217.49,3114.21,128.98,378.69
2021/1/12 下午 4:00:00,849.44,1746.55,214.93,3120.83,128.8,378.77
2021/1/13 下午 4:00:00,854.41,1754.4,216.34,3165.89,130.89,379.79
2021/1/14 下午 4:00:00,845,1740.18,213.02,3127.47,128.91,378.46
2021/1/15 下午 4:00:00,826.16,1736.19,212.65,3104.25,127.14,375.7
2021/1/19 下午 4:00:00,844.55,1790.86,216.44,3120.76,127.83,378.65
2021/1/20 下午 4:00:00,850.45,1886.9,224.34,3263.38,132.03,383.89
2021/1/21 下午 4:00:00,844.99,1891.25,224.97,3306.99,136.87,384.24
2021/1/22 下午 4:00:00,846.64,1901.05,225.95,3292.23,139.07,382.88
2021/1/25 下午 4:00:00,880.8,1899.4,229.53,3294,142.92,384.39
2021/1/26 下午 4:00:00,883.09,1917.24,232.33,3326.13,143.16,383.79
2021/1/27 下午 4:00:00,864.16,1830.79,232.9,3232.58,142.06,374.41
2021/1/28 下午 4:00:00,835.43,1863.11,238.93,3237.62,137.09,377.63
2021/1/29 下午 4:00:00,793.53,1835.74,231.96,3206.2,131.96,370.07
